"vector","Freq"
"A/B",1
"Advanced Statistical Analysis",1
"Agile",1
"AI",1
"Amazon AWS",1
"Amazon Web Services",1
"Analytical Development",1
"Analytical Validation",1
"Analytics",1
"Apache",1
"Applied Mathematics",1
"Aviation",1
"Biological data interpretation",1
"Blockchain",1
"Chatbots",1
"CNN/RNN",1
"Credit",1
"CUDA",1
"Data Analytics",1
"data extraction",1
"Data Mining and Statistical Analysis",1
"Data Science/Analytics",1
"Distribution",1
"E-Commerce",1
"ETL Tools",1
"Full Stack",1
"Genomics",1
"GMP regulated environment",1
"GNU",1
"GPU Programming",1
"Gurobi",1
"Hadoop/Spark",1
"Hadoop/Spark/Hive",1
"HPLC",1
"Julia",1
"LC-MS",1
"Lending",1
"Lindo",1
"Linux",1
"Machine Learning Algorithims",1
"Machine Learning/Artificial Intelligence",1
"Management",1
"Manufacturing",1
"Masters or PHD (CS/AI/Machine Learning)",1
"MySQL",1
"Natural Language Processing",1
"Natural Language Processing(NLP)",1
"NLP",1
"NoSQL",1
"numpy/scipy",1
"Packaging Data",1
"Perl/Python/Other Scripting language",1
"PhD",1
"PhD preferred",1
"Postgres/Redshift",1
"Python or Scala",1
"Python/R/Matlab",1
"Python/R/S+/Java",1
"Python/R/SAS",1
"Quantitative Analysis",1
"R/Python/SciKit Learn/NumPy",1
"Random Forests",1
"Relational Database Fundamentals",1
"Reselling Data",1
"Risk Models",1
"Robotics",1
"Scala or Akka",1
"Scaling Product Models",1
"scikit-learn",1
"Scipy",1
"SLAM",1
"Social Science",1
"Software Development",1
"Spark/Kafka/Storm/ Cassandra",1
"Statistical Analysis",1
"Statistical Modeling",1
"Team Management",1
"TS/SCI Polygraph clearance",1
"Version Control",1
"Web Scraping",1
"Wet Lab Biological Research",1
"Bayesian Inference",2
"Bioinformatics",2
"C",2
"C#",2
"Cassandra",2
"Data Analysis",2
"Data Mapping",2
"Data science (from industry)",2
"Machine Learning Algorithms",2
"Market data",2
"neural networks",2
"Phenomenal written and oral communication",2
"Predictive Analytics",2
"Predictive Modeling",2
"Pricing Decisions",2
"Pricing Engine",2
"Pricing Model",2
"Python/R/Machine Learning",2
"Quantitative Research",2
"R/Matlab",2
"Revenue Management",2
"SAS",2
"SCADA",2
"scikit.learn",2
"Statistics",2
"Systematic Trading",2
"Virtual Environments",2
"Algorithms",3
"Artificial Intelligence",3
"C/C++",3
"C++",3
"Financial Services",3
"Kafka",3
"Pig",3
"Python, Scala, or Java",3
"Tensorflow",3
"Alternative Data",4
"ElasticSearch",4
"Excel",4
"Natural Language Processing (NLP)",4
"SQL Server and Management Studio",4
"Big Data",5
"Data Scientist",5
"Hive",5
"Matlab",5
"matplotlib",5
"numpy",5
"Raw Data Analysis",5
"Apache Spark",6
"ETL",6
"Scala",6
"SPARK",6
"AWS",7
"Data Visualization",7
"pandas",7
"Tableau",7
"Deep Learning",8
"Java",12
"Data Science",16
"SQL",17
"Data Mining",21
"Hadoop",22
"R",29
"Machine Learning",57
"Python",68
